season,date,teams,result
2011-2012,02.05.2012,Lazio-Siena,1-1
2011-2012,02.05.2012,Milan-Atalanta,2-0
2011-2012,01.05.2012,Napoli-Palermo,2-0
2011-2012,02.05.2012,Parma-Inter,3-1
2011-2012,06.05.2012,Atalanta-Lazio,0-2
2011-2012,06.05.2012,Bologna-Napoli,2-0
2011-2012,06.05.2012,Cagliari-Juventus,0-2
2011-2012,06.05.2012,Inter-Milan,4-2
2011-2012,05.05.2012,Lecce-Fiorentina,0-1
2011-2012,06.05.2012,Novara-Cesena,3-0
2011-2012,06.05.2012,Palermo-Chievo,4-4
2011-2012,05.05.2012,Roma-Catania,2-2
2011-2012,06.05.2012,Siena-Parma,0-2
2011-2012,06.05.2012,Udinese-Genoa,2-0
2011-2012,13.05.2012,Catania-Udinese,0-2
2011-2012,13.05.2012,Cesena-Roma,2-3
2011-2012,13.05.2012,Chievo-Lecce,1-0
2011-2012,13.05.2012,Fiorentina-Cagliari,0-0
2011-2012,13.05.2012,Genoa-Palermo,2-0
2011-2012,13.05.2012,Juventus-Atalanta,3-1
2011-2012,13.05.2012,Lazio-Inter,3-1
2011-2012,13.05.2012,Milan-Novara,2-1
2011-2012,13.05.2012,Napoli-Siena,2-1
2011-2012,13.05.2012,Parma-Bologna,1-0
2012-2013,26.08.2012,Atalanta-Lazio,0-1
2012-2013,26.08.2012,Chievo-Bologna,2-0
2012-2013,25.08.2012,Fiorentina-Udinese,2-1
2012-2013,26.08.2012,Genoa-Cagliari,2-0
2012-2013,25.08.2012,Juventus-Parma,2-0
2012-2013,26.08.2012,Milan-Sampdoria,0-1
2012-2013,26.08.2012,Palermo-Napoli,0-3
2012-2013,26.08.2012,Pescara-Inter,0-3
2012-2013,26.08.2012,Roma-Catania,2-2
2012-2013,26.08.2012,Siena-Torino,0-0
2012-2013,01.09.2012,Bologna-Milan,1-3
2012-2013,02.09.2012,Cagliari-Atalanta,1-1
2012-2013,02.09.2012,Catania-Genoa,3-2
2012-2013,02.09.2012,Inter-Roma,1-3
2012-2013,02.09.2012,Lazio-Palermo,3-0
2012-2013,02.09.2012,Napoli-Fiorentina,2-1
2012-2013,02.09.2012,Parma-Chievo,2-0
2012-2013,02.09.2012,Sampdoria-Siena,2-1
2012-2013,01.09.2012,Torino-Pescara,3-0
2012-2013,02.09.2012,Udinese-Juventus,1-4
2012-2013,16.09.2012,Chievo-Lazio,1-3
2012-2013,16.09.2012,Fiorentina-Catania,2-0
2012-2013,16.09.2012,Genoa-Juventus,1-3
2012-2013,15.09.2012,Milan-Atalanta,0-1
2012-2013,16.09.2012,Napoli-Parma,3-1
2012-2013,15.09.2012,Palermo-Cagliari,1-1
2012-2013,16.09.2012,Pescara-Sampdoria,2-3
2012-2013,16.09.2012,Roma-Bologna,2-3
2012-2013,16.09.2012,Siena-Udinese,2-2
2012-2013,16.09.2012,Torino-Inter,0-2
2012-2013,23.09.2012,Atalanta-Palermo,1-0
2012-2013,23.09.2012,Bologna-Pescara,1-1
2012-2013,23.09.2012,Cagliari-Roma,0-3
2012-2013,23.09.2012,Catania-Napoli,0-0
2012-2013,23.09.2012,Inter-Siena,0-2
2012-2013,22.09.2012,Juventus-Chievo,2-0
2012-2013,23.09.2012,Lazio-Genoa,0-1
2012-2013,22.09.2012,Parma-Fiorentina,1-1
2012-2013,23.09.2012,Sampdoria-Torino,1-1
2012-2013,23.09.2012,Udinese-Milan,2-1
2012-2013,26.09.2012,Catania-Atalanta,2-1
2012-2013,26.09.2012,Chievo-Inter,0-2
2012-2013,25.09.2012,Fiorentina-Juventus,0-0
2012-2013,26.09.2012,Genoa-Parma,1-1
2012-2013,26.09.2012,Milan-Cagliari,2-0
2012-2013,26.09.2012,Napoli-Lazio,3-0
2012-2013,26.09.2012,Pescara-Palermo,1-0
2012-2013,26.09.2012,Roma-Sampdoria,1-1
2012-2013,27.09.2012,Siena-Bologna,1-0
2012-2013,26.09.2012,Torino-Udinese,0-0
2012-2013,30.09.2012,Atalanta-Torino,1-5
2012-2013,30.09.2012,Bologna-Catania,4-0
2012-2013,30.09.2012,Cagliari-Pescara,1-2
2012-2013,30.09.2012,Inter-Fiorentina,2-1
2012-2013,29.09.2012,Juventus-Roma,4-1
2012-2013,30.09.2012,Lazio-Siena,2-1
2012-2013,30.09.2012,Palermo-Chievo,4-1
2012-2013,29.09.2012,Parma-Milan,1-1
2012-2013,30.09.2012,Sampdoria-Napoli,0-1
2012-2013,30.09.2012,Udinese-Genoa,0-0
2012-2013,07.10.2012,Catania-Parma,2-0
2012-2013,06.10.2012,Chievo-Sampdoria,2-1
2012-2013,07.10.2012,Fiorentina-Bologna,1-0
2012-2013,06.10.2012,Genoa-Palermo,1-1
2012-2013,07.10.2012,Milan-Inter,0-1
2012-2013,07.10.2012,Napoli-Udinese,2-1
2012-2013,07.10.2012,Pescara-Lazio,0-3
2012-2013,07.10.2012,Roma-Atalanta,2-0
2012-2013,07.10.2012,Siena-Juventus,1-2
2012-2013,07.10.2012,Torino-Cagliari,0-1
2012-2013,21.10.2012,Atalanta-Siena,2-1
2012-2013,21.10.2012,Cagliari-Bologna,1-0
2012-2013,21.10.2012,Chievo-Fiorentina,1-1
2012-2013,21.10.2012,Genoa-Roma,2-4
2012-2013,21.10.2012,Inter-Catania,2-0
2012-2013,20.10.2012,Juventus-Napoli,2-0
2012-2013,20.10.2012,Lazio-Milan,3-2
2012-2013,21.10.2012,Palermo-Torino,0-0
2012-2013,21.10.2012,Parma-Sampdoria,2-1
2012-2013,21.10.2012,Udinese-Pescara,1-0
2012-2013,28.10.2012,Bologna-Inter,1-3
2012-2013,28.10.2012,Catania-Juventus,0-1
2012-2013,28.10.2012,Fiorentina-Lazio,2-0
2012-2013,27.10.2012,Milan-Genoa,1-0
2012-2013,28.10.2012,Napoli-Chievo,1-0
2012-2013,28.10.2012,Pescara-Atalanta,0-0
2012-2013,28.10.2012,Roma-Udinese,2-3
2012-2013,28.10.2012,Sampdoria-Cagliari,0-1
2012-2013,27.10.2012,Siena-Palermo,0-0
2012-2013,28.10.2012,Torino-Parma,1-3
2012-2013,31.10.2012,Atalanta-Napoli,1-0
2012-2013,31.10.2012,Cagliari-Siena,4-2
2012-2013,31.10.2012,Chievo-Pescara,2-0
2012-2013,01.11.2012,Genoa-Fiorentina,0-1
2012-2013,31.10.2012,Inter-Sampdoria,3-2
2012-2013,31.10.2012,Juventus-Bologna,2-1
2012-2013,31.10.2012,Lazio-Torino,1-1
2012-2013,30.10.2012,Palermo-Milan,2-2
2012-2013,31.10.2012,Parma-Roma,3-2
2012-2013,31.10.2012,Udinese-Catania,2-2
2012-2013,04.11.2012,Bologna-Udinese,1-1
2012-2013,04.11.2012,Catania-Lazio,4-0
2012-2013,04.11.2012,Fiorentina-Cagliari,4-1
2012-2013,03.11.2012,Juventus-Inter,1-3
2012-2013,03.11.2012,Milan-Chievo,5-1
2012-2013,04.11.2012,Napoli-Torino,1-1
2012-2013,04.11.2012,Pescara-Parma,2-0
2012-2013,04.11.2012,Roma-Palermo,4-1
2012-2013,04.11.2012,Sampdoria-Atalanta,1-2
2012-2013,04.11.2012,Siena-Genoa,1-0
2012-2013,11.11.2012,Atalanta-Inter,3-2
2012-2013,10.11.2012,Cagliari-Catania,0-0
2012-2013,11.11.2012,Chievo-Udinese,2-2
2012-2013,11.11.2012,Genoa-Napoli,2-4
2012-2013,11.11.2012,Lazio-Roma,3-2
2012-2013,11.11.2012,Milan-Fiorentina,1-3
2012-2013,11.11.2012,Palermo-Sampdoria,2-0
2012-2013,11.11.2012,Parma-Siena,0-0
2012-2013,10.11.2012,Pescara-Juventus,1-6
2012-2013,11.11.2012,Torino-Bologna,1-0
2012-2013,18.11.2012,Bologna-Palermo,3-0
2012-2013,18.11.2012,Catania-Chievo,2-1
2012-2013,18.11.2012,Fiorentina-Atalanta,4-1
2012-2013,18.11.2012,Inter-Cagliari,2-2
2012-2013,17.11.2012,Juventus-Lazio,0-0
2012-2013,17.11.2012,Napoli-Milan,2-2
2012-2013,19.11.2012,Roma-Torino,2-0
2012-2013,18.11.2012,Sampdoria-Genoa,3-1
2012-2013,18.11.2012,Siena-Pescara,1-0
2012-2013,18.11.2012,Udinese-Parma,2-2
2012-2013,25.11.2012,Atalanta-Genoa,0-1
2012-2013,26.11.2012,Cagliari-Napoli,0-1
2012-2013,25.11.2012,Chievo-Siena,0-0
2012-2013,27.11.2012,Lazio-Udinese,3-0
2012-2013,25.11.2012,Milan-Juventus,1-0
2012-2013,24.11.2012,Palermo-Catania,3-1
2012-2013,26.11.2012,Parma-Inter,1-0
2012-2013,25.11.2012,Pescara-Roma,0-1
2012-2013,25.11.2012,Sampdoria-Bologna,1-0
2012-2013,25.11.2012,Torino-Fiorentina,2-2
2012-2013,02.12.2012,Bologna-Atalanta,2-1
2012-2013,30.11.2012,Catania-Milan,1-3
2012-2013,02.12.2012,Fiorentina-Sampdoria,2-2
2012-2013,02.12.2012,Genoa-Chievo,2-4
2012-2013,02.12.2012,Inter-Palermo,1-0
2012-2013,01.12.2012,Juventus-Torino,3-0
2012-2013,02.12.2012,Lazio-Parma,2-1
2012-2013,02.12.2012,Napoli-Pescara,5-1
2012-2013,02.12.2012,Siena-Roma,1-3
2012-2013,02.12.2012,Udinese-Cagliari,4-1
2012-2013,08.12.2012,Atalanta-Parma,2-1
2012-2013,10.12.2012,Bologna-Lazio,0-0
2012-2013,09.12.2012,Cagliari-Chievo,0-2
2012-2013,09.12.2012,Inter-Napoli,2-1
2012-2013,09.12.2012,Palermo-Juventus,0-1
2012-2013,09.12.2012,Pescara-Genoa,2-0
2012-2013,08.12.2012,Roma-Fiorentina,4-2
2012-2013,10.12.2012,Sampdoria-Udinese,0-2
2012-2013,09.12.2012,Siena-Catania,1-3
2012-2013,09.12.2012,Torino-Milan,2-4
2012-2013,16.12.2012,Catania-Sampdoria,3-1
2012-2013,16.12.2012,Chievo-Roma,1-0
2012-2013,16.12.2012,Fiorentina-Siena,4-1
2012-2013,16.12.2012,Genoa-Torino,1-1
2012-2013,16.12.2012,Juventus-Atalanta,3-0
2012-2013,15.12.2012,Lazio-Inter,1-0
2012-2013,16.12.2012,Milan-Pescara,4-1
2012-2013,16.12.2012,Napoli-Bologna,2-3
2012-2013,16.12.2012,Parma-Cagliari,4-1
2012-2013,15.12.2012,Udinese-Palermo,1-1
2012-2013,22.12.2012,Atalanta-Udinese,1-1
2012-2013,22.12.2012,Bologna-Parma,1-2
2012-2013,21.12.2012,Cagliari-Juventus,1-3
2012-2013,22.12.2012,Inter-Genoa,1-1
2012-2013,22.12.2012,Palermo-Fiorentina,0-3
2012-2013,21.12.2012,Pescara-Catania,2-1
2012-2013,22.12.2012,Roma-Milan,4-2
2012-2013,22.12.2012,Sampdoria-Lazio,0-1
2012-2013,22.12.2012,Siena-Napoli,0-2
2012-2013,22.12.2012,Torino-Chievo,2-0
2012-2013,05.01.2013,Catania-Torino,0-0
2012-2013,06.01.2013,Chievo-Atalanta,1-0
2012-2013,06.01.2013,Fiorentina-Pescara,0-2
2012-2013,06.01.2013,Genoa-Bologna,2-0
2012-2013,06.01.2013,Juventus-Sampdoria,1-2
2012-2013,05.01.2013,Lazio-Cagliari,2-1
2012-2013,06.01.2013,Milan-Siena,2-1
2012-2013,06.01.2013,Napoli-Roma,4-1
2012-2013,06.01.2013,Parma-Palermo,2-1
2012-2013,06.01.2013,Udinese-Inter,3-0
2012-2013,12.01.2013,Bologna-Chievo,4-0
2012-2013,13.01.2013,Cagliari-Genoa,2-1
2012-2013,13.01.2013,Catania-Roma,1-0
2012-2013,12.01.2013,Inter-Pescara,2-0
2012-2013,13.01.2013,Lazio-Atalanta,2-0
2012-2013,13.01.2013,Napoli-Palermo,3-0
2012-2013,13.01.2013,Parma-Juventus,1-1
2012-2013,13.01.2013,Sampdoria-Milan,0-0
2012-2013,13.01.2013,Torino-Siena,3-2
2012-2013,13.01.2013,Udinese-Fiorentina,3-1
2012-2013,20.01.2013,Atalanta-Cagliari,1-1
2012-2013,20.01.2013,Chievo-Parma,1-1
2012-2013,20.01.2013,Fiorentina-Napoli,1-1
2012-2013,20.01.2013,Genoa-Catania,0-2
2012-2013,19.01.2013,Juventus-Udinese,4-0
2012-2013,20.01.2013,Milan-Bologna,2-1
2012-2013,19.01.2013,Palermo-Lazio,2-2
2012-2013,20.01.2013,Pescara-Torino,0-2
2012-2013,20.01.2013,Roma-Inter,1-1
2012-2013,20.01.2013,Siena-Sampdoria,1-0
2012-2013,27.01.2013,Atalanta-Milan,0-1
2012-2013,27.01.2013,Bologna-Roma,3-3
2012-2013,27.01.2013,Cagliari-Palermo,1-1
2012-2013,27.01.2013,Catania-Fiorentina,2-1
2012-2013,27.01.2013,Inter-Torino,2-2
2012-2013,26.01.2013,Juventus-Genoa,1-1
2012-2013,26.01.2013,Lazio-Chievo,0-1
2012-2013,27.01.2013,Parma-Napoli,1-2
2012-2013,27.01.2013,Sampdoria-Pescara,6-0
2012-2013,27.01.2013,Udinese-Siena,1-0
2012-2013,03.02.2013,Chievo-Juventus,1-2
2012-2013,03.02.2013,Fiorentina-Parma,2-0
2012-2013,03.02.2013,Genoa-Lazio,3-2
2012-2013,03.02.2013,Milan-Udinese,2-1
2012-2013,02.02.2013,Napoli-Catania,2-0
2012-2013,03.02.2013,Palermo-Atalanta,1-2
2012-2013,03.02.2013,Pescara-Bologna,2-3
2012-2013,01.02.2013,Roma-Cagliari,2-4
2012-2013,03.02.2013,Siena-Inter,3-1
2012-2013,02.02.2013,Torino-Sampdoria,0-0
2012-2013,10.02.2013,Atalanta-Catania,0-0
2012-2013,10.02.2013,Bologna-Siena,1-1
2012-2013,10.02.2013,Cagliari-Milan,1-1
2012-2013,10.02.2013,Inter-Chievo,3-1
2012-2013,09.02.2013,Juventus-Fiorentina,2-0
2012-2013,09.02.2013,Lazio-Napoli,1-1
2012-2013,10.02.2013,Palermo-Pescara,1-1
2012-2013,10.02.2013,Parma-Genoa,0-0
2012-2013,10.02.2013,Sampdoria-Roma,3-1
2012-2013,10.02.2013,Udinese-Torino,1-0
2012-2013,17.02.2013,Catania-Bologna,1-0
2012-2013,16.02.2013,Chievo-Palermo,1-1
2012-2013,17.02.2013,Fiorentina-Inter,4-1
2012-2013,17.02.2013,Genoa-Udinese,1-0
2012-2013,15.02.2013,Milan-Parma,2-1
2012-2013,17.02.2013,Napoli-Sampdoria,0-0
2012-2013,17.02.2013,Pescara-Cagliari,0-2
2012-2013,16.02.2013,Roma-Juventus,1-0
2012-2013,18.02.2013,Siena-Lazio,3-0
2012-2013,17.02.2013,Torino-Atalanta,2-1
2012-2013,24.02.2013,Atalanta-Roma,2-3
2012-2013,26.02.2013,Bologna-Fiorentina,2-1
2012-2013,24.02.2013,Cagliari-Torino,4-3
2012-2013,24.02.2013,Inter-Milan,1-1
2012-2013,24.02.2013,Juventus-Siena,3-0
2012-2013,25.02.2013,Lazio-Pescara,2-0
2012-2013,23.02.2013,Palermo-Genoa,0-0
2012-2013,24.02.2013,Parma-Catania,1-2
2012-2013,24.02.2013,Sampdoria-Chievo,2-0
2012-2013,25.02.2013,Udinese-Napoli,0-0
2012-2013,03.03.2013,Bologna-Cagliari,3-0
2012-2013,03.03.2013,Catania-Inter,2-3
2012-2013,03.03.2013,Fiorentina-Chievo,2-1
2012-2013,02.03.2013,Milan-Lazio,3-0
2012-2013,01.03.2013,Napoli-Juventus,1-1
2012-2013,03.03.2013,Pescara-Udinese,0-1
2012-2013,03.03.2013,Roma-Genoa,3-1
2012-2013,03.03.2013,Sampdoria-Parma,1-0
2012-2013,03.03.2013,Siena-Atalanta,0-2
2012-2013,03.03.2013,Torino-Palermo,0-0
2012-2013,10.03.2013,Atalanta-Pescara,2-1
2012-2013,10.03.2013,Cagliari-Sampdoria,3-1
2012-2013,10.03.2013,Chievo-Napoli,2-0
2012-2013,08.03.2013,Genoa-Milan,0-2
2012-2013,10.03.2013,Inter-Bologna,0-1
2012-2013,10.03.2013,Juventus-Catania,1-0
2012-2013,10.03.2013,Lazio-Fiorentina,0-2
2012-2013,10.03.2013,Palermo-Siena,1-2
2012-2013,10.03.2013,Parma-Torino,4-1
2012-2013,09.03.2013,Udinese-Roma,1-1
2012-2013,16.03.2013,Bologna-Juventus,0-2
2012-2013,16.03.2013,Catania-Udinese,3-1
2012-2013,17.03.2013,Fiorentina-Genoa,3-2
2012-2013,17.03.2013,Milan-Palermo,2-0
2012-2013,17.03.2013,Napoli-Atalanta,3-2
2012-2013,17.03.2013,Pescara-Chievo,0-2
2012-2013,17.03.2013,Roma-Parma,2-0
2012-2013,03.04.2013,Sampdoria-Inter,0-2
2012-2013,17.03.2013,Siena-Cagliari,0-0
2012-2013,17.03.2013,Torino-Lazio,1-0
2012-2013,30.03.2013,Atalanta-Sampdoria,0-0
2012-2013,30.03.2013,Cagliari-Fiorentina,2-1
2012-2013,30.03.2013,Chievo-Milan,0-1
2012-2013,30.03.2013,Genoa-Siena,2-2
2012-2013,30.03.2013,Inter-Juventus,1-2
2012-2013,30.03.2013,Lazio-Catania,2-1
2012-2013,30.03.2013,Palermo-Roma,2-0
2012-2013,30.03.2013,Parma-Pescara,3-0
2012-2013,30.03.2013,Torino-Napoli,3-5
2012-2013,30.03.2013,Udinese-Bologna,0-0
2012-2013,06.04.2013,Bologna-Torino,2-2
2012-2013,07.04.2013,Catania-Cagliari,0-0
2012-2013,07.04.2013,Fiorentina-Milan,2-2
2012-2013,07.04.2013,Inter-Atalanta,3-4
2012-2013,06.04.2013,Juventus-Pescara,2-1
2012-2013,07.04.2013,Napoli-Genoa,2-0
2012-2013,08.04.2013,Roma-Lazio,1-1
2012-2013,07.04.2013,Sampdoria-Palermo,1-3
2012-2013,07.04.2013,Siena-Parma,0-0
2012-2013,07.04.2013,Udinese-Chievo,3-1
2012-2013,13.04.2013,Atalanta-Fiorentina,0-2
2012-2013,14.04.2013,Cagliari-Inter,2-0
2012-2013,14.04.2013,Chievo-Catania,0-0
2012-2013,14.04.2013,Genoa-Sampdoria,1-1
2012-2013,15.04.2013,Lazio-Juventus,0-2
2012-2013,14.04.2013,Milan-Napoli,1-1
2012-2013,14.04.2013,Palermo-Bologna,1-1
2012-2013,14.04.2013,Parma-Udinese,0-3
2012-2013,13.04.2013,Pescara-Siena,2-3
2012-2013,14.04.2013,Torino-Roma,1-2
2012-2013,21.04.2013,Bologna-Sampdoria,1-1
2012-2013,21.04.2013,Catania-Palermo,1-1
2012-2013,21.04.2013,Fiorentina-Torino,4-3
2012-2013,20.04.2013,Genoa-Atalanta,1-1
2012-2013,21.04.2013,Inter-Parma,1-0
2012-2013,21.04.2013,Juventus-Milan,1-0
2012-2013,21.04.2013,Napoli-Cagliari,3-2
2012-2013,21.04.2013,Roma-Pescara,1-1
2012-2013,21.04.2013,Siena-Chievo,0-1
2012-2013,20.04.2013,Udinese-Lazio,1-0
2012-2013,27.04.2013,Atalanta-Bologna,1-1
2012-2013,27.04.2013,Cagliari-Udinese,0-1
2012-2013,28.04.2013,Chievo-Genoa,0-1
2012-2013,28.04.2013,Milan-Catania,4-2
2012-2013,28.04.2013,Palermo-Inter,1-0
2012-2013,28.04.2013,Parma-Lazio,0-0
2012-2013,27.04.2013,Pescara-Napoli,0-3
2012-2013,28.04.2013,Roma-Siena,4-0
2012-2013,28.04.2013,Sampdoria-Fiorentina,0-3
2012-2013,28.04.2013,Torino-Juventus,0-2
2012-2013,05.05.2013,Catania-Siena,3-0
2012-2013,04.05.2013,Chievo-Cagliari,0-0
2012-2013,04.05.2013,Fiorentina-Roma,0-1
2012-2013,05.05.2013,Genoa-Pescara,4-1
2012-2013,05.05.2013,Juventus-Palermo,1-0
2012-2013,05.05.2013,Lazio-Bologna,6-0
2012-2013,05.05.2013,Milan-Torino,1-0
2012-2013,05.05.2013,Napoli-Inter,3-1
2012-2013,05.05.2013,Parma-Atalanta,2-0
2012-2013,05.05.2013,Udinese-Sampdoria,3-1
2012-2013,08.05.2013,Atalanta-Juventus,0-1
2012-2013,08.05.2013,Bologna-Napoli,0-3
2012-2013,08.05.2013,Cagliari-Parma,0-1
2012-2013,08.05.2013,Inter-Lazio,1-3
2012-2013,08.05.2013,Palermo-Udinese,2-3
2012-2013,08.05.2013,Pescara-Milan,0-4
2012-2013,07.05.2013,Roma-Chievo,0-1
2012-2013,08.05.2013,Sampdoria-Catania,1-1
2012-2013,08.05.2013,Siena-Fiorentina,0-1
2012-2013,08.05.2013,Torino-Genoa,0-0
2012-2013,11.05.2013,Catania-Pescara,1-0
2012-2013,12.05.2013,Chievo-Torino,1-1
2012-2013,12.05.2013,Fiorentina-Palermo,1-0
2012-2013,12.05.2013,Genoa-Inter,0-0
2012-2013,11.05.2013,Juventus-Cagliari,1-1
2012-2013,12.05.2013,Lazio-Sampdoria,2-0
2012-2013,12.05.2013,Milan-Roma,0-0
2012-2013,12.05.2013,Napoli-Siena,2-1
2012-2013,12.05.2013,Parma-Bologna,0-2
2012-2013,12.05.2013,Udinese-Atalanta,2-1
2012-2013,19.05.2013,Atalanta-Chievo,2-2
2012-2013,19.05.2013,Bologna-Genoa,0-0
2012-2013,19.05.2013,Cagliari-Lazio,1-0
2012-2013,19.05.2013,Inter-Udinese,2-5
2012-2013,19.05.2013,Palermo-Parma,1-3
2012-2013,19.05.2013,Pescara-Fiorentina,1-5
2012-2013,19.05.2013,Roma-Napoli,2-1
2012-2013,18.05.2013,Sampdoria-Juventus,3-2
2012-2013,19.05.2013,Siena-Milan,1-2
2012-2013,19.05.2013,Torino-Catania,2-2
2013-2014,25.08.2013,Cagliari-Atalanta,2-1
2013-2014,26.08.2013,Fiorentina-Catania,2-1
2013-2014,25.08.2013,Inter-Genoa,2-0
2013-2014,25.08.2013,Lazio-Udinese,2-1
2013-2014,25.08.2013,Livorno-Roma,0-2
2013-2014,25.08.2013,Napoli-Bologna,3-0
2013-2014,25.08.2013,Parma-Chievo,0-0
2013-2014,24.08.2013,Sampdoria-Juventus,0-1
2013-2014,25.08.2013,Torino-Sassuolo,2-0
2013-2014,24.08.2013,Verona-Milan,2-1
2013-2014,01.09.2013,Atalanta-Torino,2-0
2013-2014,01.09.2013,Bologna-Sampdoria,2-2
2013-2014,01.09.2013,Catania-Inter,0-3
2013-2014,31.08.2013,Chievo-Napoli,2-4
2013-2014,01.09.2013,Genoa-Fiorentina,2-5
2013-2014,31.08.2013,Juventus-Lazio,4-1
2013-2014,01.09.2013,Milan-Cagliari,3-1
2013-2014,01.09.2013,Roma-Verona,3-0
2013-2014,01.09.2013,Sassuolo-Livorno,1-4
2013-2014,01.09.2013,Udinese-Parma,3-1
2013-2014,15.09.2013,Fiorentina-Cagliari,1-1
2013-2014,14.09.2013,Inter-Juventus,1-1
2013-2014,15.09.2013,Lazio-Chievo,3-0
2013-2014,15.09.2013,Livorno-Catania,2-0
2013-2014,14.09.2013,Napoli-Atalanta,2-0
2013-2014,16.09.2013,Parma-Roma,1-3
2013-2014,15.09.2013,Sampdoria-Genoa,0-3
2013-2014,14.09.2013,Torino-Milan,2-2
2013-2014,15.09.2013,Udinese-Bologna,1-1
2013-2014,15.09.2013,Verona-Sassuolo,2-0
2013-2014,22.09.2013,Atalanta-Fiorentina,0-2
2013-2014,22.09.2013,Bologna-Torino,1-2
2013-2014,21.09.2013,Cagliari-Sampdoria,2-2
2013-2014,22.09.2013,Catania-Parma,0-0
2013-2014,21.09.2013,Chievo-Udinese,2-1
2013-2014,21.09.2013,Genoa-Livorno,0-0
2013-2014,22.09.2013,Juventus-Verona,2-1
2013-2014,22.09.2013,Milan-Napoli,1-2
2013-2014,22.09.2013,Roma-Lazio,2-0
2013-2014,22.09.2013,Sassuolo-Inter,0-7
2013-2014,25.09.2013,Bologna-Milan,3-3
2013-2014,25.09.2013,Chievo-Juventus,1-2
2013-2014,26.09.2013,Inter-Fiorentina,2-1
2013-2014,25.09.2013,Lazio-Catania,3-1
2013-2014,25.09.2013,Livorno-Cagliari,1-1
2013-2014,25.09.2013,Napoli-Sassuolo,1-1
2013-2014,25.09.2013,Parma-Atalanta,4-3
2013-2014,25.09.2013,Sampdoria-Roma,0-2
2013-2014,25.09.2013,Torino-Verona,2-2
2013-2014,24.09.2013,Udinese-Genoa,1-0
2013-2014,29.09.2013,Atalanta-Udinese,2-0
2013-2014,29.09.2013,Cagliari-Inter,1-1
2013-2014,29.09.2013,Catania-Chievo,2-0
2013-2014,30.09.2013,Fiorentina-Parma,2-2
2013-2014,28.09.2013,Genoa-Napoli,0-2
2013-2014,28.09.2013,Milan-Sampdoria,1-0
2013-2014,29.09.2013,Roma-Bologna,5-0
2013-2014,29.09.2013,Sassuolo-Lazio,2-2
2013-2014,29.09.2013,Torino-Juventus,0-1
2013-2014,29.09.2013,Verona-Livorno,2-1
2013-2014,06.10.2013,Bologna-Verona,1-4
2013-2014,06.10.2013,Catania-Genoa,1-1
2013-2014,05.10.2013,Chievo-Atalanta,0-1
2013-2014,05.10.2013,Inter-Roma,0-3
2013-2014,06.10.2013,Juventus-Milan,3-2
2013-2014,06.10.2013,Lazio-Fiorentina,0-0
2013-2014,06.10.2013,Napoli-Livorno,4-0
2013-2014,06.10.2013,Parma-Sassuolo,3-1
2013-2014,06.10.2013,Sampdoria-Torino,2-2
2013-2014,06.10.2013,Udinese-Cagliari,2-0
2013-2014,20.10.2013,Atalanta-Lazio,2-1
2013-2014,19.10.2013,Cagliari-Catania,2-1
2013-2014,20.10.2013,Fiorentina-Juventus,4-2
2013-2014,20.10.2013,Genoa-Chievo,2-1
2013-2014,20.10.2013,Livorno-Sampdoria,1-2
2013-2014,19.10.2013,Milan-Udinese,1-0
2013-2014,18.10.2013,Roma-Napoli,2-0
2013-2014,20.10.2013,Sassuolo-Bologna,2-1
2013-2014,20.10.2013,Torino-Inter,3-3
2013-2014,20.10.2013,Verona-Parma,3-2
2013-2014,27.10.2013,Bologna-Livorno,1-0
2013-2014,27.10.2013,Catania-Sassuolo,0-0
2013-2014,27.10.2013,Chievo-Fiorentina,1-2
2013-2014,26.10.2013,Inter-Verona,4-2
2013-2014,27.10.2013,Juventus-Genoa,2-0
2013-2014,27.10.2013,Lazio-Cagliari,2-0
2013-2014,27.10.2013,Napoli-Torino,2-0
2013-2014,27.10.2013,Parma-Milan,3-2
2013-2014,26.10.2013,Sampdoria-Atalanta,1-0
2013-2014,27.10.2013,Udinese-Roma,0-1
2013-2014,29.10.2013,Atalanta-Inter,1-1
2013-2014,30.10.2013,Cagliari-Bologna,0-3
2013-2014,30.10.2013,Fiorentina-Napoli,1-2
2013-2014,30.10.2013,Genoa-Parma,1-0
2013-2014,30.10.2013,Juventus-Catania,4-0
2013-2014,30.10.2013,Livorno-Torino,3-3
2013-2014,30.10.2013,Milan-Lazio,1-1
2013-2014,31.10.2013,Roma-Chievo,1-0
2013-2014,30.10.2013,Sassuolo-Udinese,1-2
2013-2014,30.10.2013,Verona-Sampdoria,2-0
2013-2014,04.11.2013,Bologna-Chievo,0-0
2013-2014,03.11.2013,Lazio-Genoa,0-2
2013-2014,03.11.2013,Livorno-Atalanta,1-0
2013-2014,02.11.2013,Milan-Fiorentina,0-2
2013-2014,02.11.2013,Napoli-Catania,2-1
2013-2014,02.11.2013,Parma-Juventus,0-1
2013-2014,03.11.2013,Sampdoria-Sassuolo,3-4
2013-2014,03.11.2013,Torino-Roma,1-1
2013-2014,03.11.2013,Udinese-Inter,0-3
2013-2014,03.11.2013,Verona-Cagliari,2-1
2013-2014,10.11.2013,Atalanta-Bologna,2-1
2013-2014,10.11.2013,Cagliari-Torino,2-1
2013-2014,09.11.2013,Catania-Udinese,1-0
2013-2014,10.11.2013,Chievo-Milan,0-0
2013-2014,10.11.2013,Fiorentina-Sampdoria,2-1
